"Phase Number","Start Time","Request Type","Latency","Response Code"
"2","1645569645225","POST","275","201"
"2","1645569645079","POST","421","201"
"2","1645569645186","POST","314","201"
"2","1645569645143","POST","358","201"
"2","1645569645150","POST","351","201"
"2","1645569645149","POST","352","201"
"2","1645569645235","POST","267","201"
"2","1645569645235","POST","267","201"
"2","1645569645082","POST","422","201"
"2","1645569645240","POST","265","201"
"2","1645569645240","POST","265","201"
"2","1645569645141","POST","365","201"
"2","1645569645225","POST","282","201"
"2","1645569645225","POST","282","201"
"2","1645569645232","POST","275","201"
"2","1645569645223","POST","285","201"
"2","1645569645224","POST","284","201"
"2","1645569645238","POST","270","201"
"2","1645569645236","POST","273","201"
"2","1645569645149","POST","361","201"
"2","1645569645081","POST","429","201"
"2","1645569645236","POST","275","201"
"2","1645569645225","POST","286","201"
"2","1645569645080","POST","432","201"
"2","1645569645237","POST","275","201"
"2","1645569645245","POST","267","201"
"2","1645569645236","POST","278","201"
"2","1645569645246","POST","269","201"
"2","1645569645236","POST","284","201"
"2","1645569645242","POST","279","201"
"2","1645569645242","POST","279","201"
"2","1645569645238","POST","283","201"
"2","1645569645244","POST","278","201"
"2","1645569645241","POST","285","201"
"2","1645569645243","POST","284","201"
"2","1645569645241","POST","287","201"
"2","1645569645239","POST","292","201"
"2","1645569645242","POST","290","201"
"2","1645569645235","POST","298","201"
"2","1645569645232","POST","301","201"
"2","1645569645243","POST","292","201"
"2","1645569645240","POST","295","201"
"2","1645569645247","POST","288","201"
"2","1645569645235","POST","301","201"
"2","1645569645245","POST","291","201"
"2","1645569645237","POST","299","201"
"2","1645569645237","POST","300","201"
"2","1645569645238","POST","300","201"
"2","1645569645224","POST","314","201"
"2","1645569645080","POST","459","201"
"2","1645569645148","POST","391","201"
"2","1645569645239","POST","301","201"
"2","1645569645075","POST","466","201"
"2","1645569645480","POST","79","201"
"2","1645569645481","POST","78","201"
"2","1645569645481","POST","78","201"
"2","1645569645079","POST","496","201"
"2","1645569645500","POST","75","201"
"2","1645569645500","POST","76","201"
"2","1645569645509","POST","67","201"
"2","1645569645501","POST","75","201"
"2","1645569645508","POST","68","201"
"2","1645569645508","POST","68","201"
"2","1645569645505","POST","71","201"
"2","1645569645500","POST","76","201"
"2","1645569645499","POST","77","201"
"2","1645569645501","POST","75","201"
"2","1645569645499","POST","77","201"
"2","1645569645500","POST","76","201"
"2","1645569645500","POST","76","201"
"2","1645569645501","POST","75","201"
"2","1645569645501","POST","75","201"
"2","1645569645499","POST","80","201"
"2","1645569645504","POST","78","201"
"2","1645569645507","POST","75","201"
"2","1645569645507","POST","75","201"
"2","1645569645510","POST","72","201"
"2","1645569645505","POST","78","201"
"2","1645569645511","POST","72","201"
"2","1645569645509","POST","73","201"
"2","1645569645506","POST","77","201"
"2","1645569645510","POST","81","201"
"2","1645569645511","POST","80","201"
"2","1645569645512","POST","80","201"
"2","1645569645512","POST","81","201"
"2","1645569645515","POST","85","201"
"2","1645569645521","POST","79","201"
"2","1645569645521","POST","79","201"
"2","1645569645526","POST","74","201"
"2","1645569645522","POST","80","201"
"2","1645569645522","POST","80","201"
"2","1645569645520","POST","86","201"
"2","1645569645514","POST","92","201"
"2","1645569645513","POST","93","201"
"2","1645569645536","POST","79","201"
"2","1645569645538","POST","77","201"
"2","1645569645533","POST","82","201"
"2","1645569645541","POST","74","201"
"2","1645569645527","POST","88","201"
"2","1645569645537","POST","78","201"
"2","1645569645535","POST","81","201"
"2","1645569645531","POST","85","201"
"2","1645569645537","POST","79","201"
"2","1645569645536","POST","80","201"
"2","1645569645535","POST","81","201"
"2","1645569645540","POST","76","201"
"2","1645569645535","POST","82","201"
"2","1645569645508","POST","109","201"
"2","1645569645502","POST","115","201"
"2","1645569645538","POST","79","201"
"2","1645569645532","POST","86","201"
"2","1645569645502","POST","116","201"
"2","1645569645539","POST","79","201"
"2","1645569645528","POST","90","201"
"2","1645569645533","POST","85","201"
"2","1645569645539","POST","79","201"
"2","1645569645559","POST","94","201"
"2","1645569645559","POST","94","201"
"2","1645569645576","POST","77","201"
"2","1645569645577","POST","76","201"
"2","1645569645576","POST","77","201"
"2","1645569645577","POST","77","201"
"2","1645569645578","POST","76","201"
"2","1645569645578","POST","76","201"
"2","1645569645577","POST","77","201"
"2","1645569645577","POST","77","201"
"2","1645569645578","POST","76","201"
"2","1645569645578","POST","77","201"
"2","1645569645577","POST","78","201"
"2","1645569645578","POST","77","201"
"2","1645569645576","POST","79","201"
"2","1645569645576","POST","80","201"
"2","1645569645559","POST","97","201"
"2","1645569645582","POST","86","201"
"2","1645569645583","POST","85","201"
"2","1645569645578","POST","91","201"
"2","1645569645582","POST","87","201"
"2","1645569645582","POST","87","201"
"2","1645569645578","POST","92","201"
"2","1645569645583","POST","87","201"
"2","1645569645583","POST","88","201"
"2","1645569645579","POST","92","201"
"2","1645569645583","POST","88","201"
"2","1645569645584","POST","87","201"
"2","1645569645592","POST","80","201"
"2","1645569645592","POST","80","201"
"2","1645569645593","POST","79","201"
"2","1645569645592","POST","80","201"
"2","1645569645600","POST","73","201"
"2","1645569645606","POST","93","201"
"2","1645569645600","POST","99","201"
"2","1645569645600","POST","99","201"
"2","1645569645602","POST","97","201"
"2","1645569645606","POST","94","201"
"2","1645569645615","POST","85","201"
"2","1645569645616","POST","84","201"
"2","1645569645616","POST","84","201"
"2","1645569645602","POST","98","201"
"2","1645569645606","POST","94","201"
"2","1645569645615","POST","86","201"
"2","1645569645618","POST","83","201"
"2","1645569645615","POST","86","201"
"2","1645569645617","POST","84","201"
"2","1645569645601","POST","101","201"
"2","1645569645618","POST","84","201"
"2","1645569645617","POST","85","201"
"2","1645569645615","POST","87","201"
"2","1645569645616","POST","86","201"
"2","1645569645618","POST","84","201"
"2","1645569645618","POST","85","201"
"2","1645569645615","POST","88","201"
"2","1645569645618","POST","85","201"
"2","1645569645617","POST","86","201"
"2","1645569645616","POST","87","201"
"2","1645569645615","POST","89","201"
"2","1645569645618","POST","86","201"
"2","1645569645617","POST","87","201"
"2","1645569645617","POST","87","201"
"2","1645569645616","POST","88","201"
"2","1645569645654","POST","74","201"
"2","1645569645654","POST","74","201"
"2","1645569645654","POST","74","201"
"2","1645569645655","POST","74","201"
"2","1645569645654","POST","75","201"
"2","1645569645654","POST","75","201"
"2","1645569645654","POST","75","201"
"2","1645569645653","POST","76","201"
